review,rating,date,bank,source,sentiment_label,sentiment_score,processed_text,theme
"this app is very useful app,it saves time,and it is secure",4,2025-05-21,CBE,Google Play,POSITIVE,0.395,app useful app save time secure,UI/UX
it's a good application 👍,5,2025-05-21,CBE,Google Play,POSITIVE,0.7,good application,Other
the screenshot and the reffresh options are so annoying that makes transaction so delaying activity !,2,2025-05-21,CBE,Google Play,NEGATIVE,-1.0,screenshot reffresh option annoying make transaction delaying activity,Transactions
poor service,1,2025-05-21,CBE,Google Play,NEGATIVE,-0.4,poor service,Customer Support
amazing,5,2025-05-20,CBE,Google Play,POSITIVE,0.6000000000000001,amazing,Other
it is reliable and easy to use.,5,2025-05-20,CBE,Google Play,POSITIVE,0.4333333333333333,reliable easy use,Other
the most annoying mobile banking app I've ever seen,1,2025-05-20,CBE,Google Play,NEGATIVE,-0.15,annoying mobile banking app ever seen,UI/UX
Cbe mobile banking,5,2025-05-20,CBE,Google Play,NEUTRAL,0.0,cbe mobile banking,Other
"i can't make Screenshout in this app, please made modification",5,2025-05-20,CBE,Google Play,NEUTRAL,0.0,ca make screenshout app please made modification,UI/UX
Best app I loved it,5,2025-05-19,CBE,Google Play,POSITIVE,0.85,best app loved,UI/UX
nice app,5,2025-05-19,CBE,Google Play,POSITIVE,0.6,nice app,UI/UX
Amazing applicatiom sometimes doesnt work!,5,2025-05-18,CBE,Google Play,POSITIVE,0.7500000000000001,amazing applicatiom sometimes doesnt work,Other
well satisfied with this beautiful app,5,2025-05-18,CBE,Google Play,POSITIVE,0.675,well satisfied beautiful app,UI/UX
very good,4,2025-05-17,CBE,Google Play,POSITIVE,0.91,good,Other
best app.,5,2025-05-17,CBE,Google Play,POSITIVE,1.0,best app,UI/UX
"not working,why???",5,2025-05-17,CBE,Google Play,NEUTRAL,0.0,working,Other
Great impact but why Developer option turnoff if you fix 🙏 🙏 🙏,5,2025-05-17,CBE,Google Play,POSITIVE,0.8,great impact developer option turnoff fix,Features
always disappointing ! especially the iOS one !! some similar local applications are extremely superior to this application!! Really disappointing!,1,2025-05-17,CBE,Google Play,NEUTRAL,-0.0833333333333333,always disappointing especially io one similar local application extremely superior application really disappointing,Other
woxe harimo ribiso,5,2025-05-17,CBE,Google Play,NEUTRAL,0.0,woxe harimo ribiso,Other
