review,rating,date,bank,source,sentiment_label,sentiment_score
"it's a great job.but one more thing, it hasn't been placed for transfer to other banks on face like mobile charge card place",5,2025-05-05,CBE,Google Play,POSITIVE,0.39166666666666666
CBE mobilr bankg,5,2025-05-05,CBE,Google Play,NEUTRAL,0.0
verygood,3,2025-05-05,CBE,Google Play,NEUTRAL,0.0
ممتاز جدا,5,2025-05-04,CBE,Google Play,NEUTRAL,0.0
it's very low quality application,1,2025-05-04,CBE,Google Play,NEUTRAL,0.0
Very Amazing Apps,5,2025-05-04,CBE,Google Play,POSITIVE,0.7800000000000001
አዛ,1,2025-05-04,CBE,Google Play,NEUTRAL,0.0
wow simple life,5,2025-05-04,CBE,Google Play,NEUTRAL,0.05
it's nice,5,2025-05-03,CBE,Google Play,POSITIVE,0.6
Why stacked sometimes,5,2025-05-03,CBE,Google Play,NEUTRAL,0.0
okay 👍 but sometimes busy,1,2025-05-03,CBE,Google Play,POSITIVE,0.3
the worst commercial company that fails to do even the most normal things again and and again.,1,2025-05-03,CBE,Google Play,NEGATIVE,-0.16999999999999998
Very good app. but disappointed by general cessation of system.,5,2025-05-02,CBE,Google Play,NEUTRAL,0.06999999999999998
Good and fast,5,2025-05-02,CBE,Google Play,POSITIVE,0.44999999999999996
Unreliable!,1,2025-05-02,CBE,Google Play,NEUTRAL,0.0
Best the best fast,5,2025-05-02,CBE,Google Play,POSITIVE,0.7333333333333334
happy,5,2025-05-02,CBE,Google Play,POSITIVE,0.8
fast and reliable,5,2025-05-02,CBE,Google Play,POSITIVE,0.2
network errorrrrrr,2,2025-05-02,CBE,Google Play,NEUTRAL,0.0
Best app but there is some problem I can't send money to telebirr or mpesa so if you can add that it could be use full,4,2025-05-02,CBE,Google Play,POSITIVE,0.675
its good and simple to use,5,2025-05-02,CBE,Google Play,POSITIVE,0.35
worest app like that bank for security and network access,1,2025-05-02,CBE,Google Play,NEUTRAL,0.0
it's the best app i,5,2025-05-02,CBE,Google Play,POSITIVE,1.0
not bad not good,1,2025-05-02,CBE,Google Play,NEUTRAL,-2.7755575615628914e-17
its very nice,5,2025-05-02,CBE,Google Play,POSITIVE,0.78
do not work this week,3,2025-04-30,CBE,Google Play,NEUTRAL,0.0
It crashes frequently,4,2025-04-30,CBE,Google Play,NEUTRAL,0.1
the best,5,2025-04-28,CBE,Google Play,POSITIVE,1.0
"I can simply describe this app as ""Making all your work easier"".",5,2025-04-28,CBE,Google Play,NEUTRAL,0.0
goid,5,2025-04-28,CBE,Google Play,NEUTRAL,0.0
best appearance,5,2025-04-27,CBE,Google Play,POSITIVE,1.0
it's very good 👍 app,5,2025-04-27,CBE,Google Play,POSITIVE,0.9099999999999999
I need support you,5,2025-04-27,CBE,Google Play,NEUTRAL,0.0
the worst Mobile banking i have ever seen in my life,1,2025-04-26,CBE,Google Play,NEGATIVE,-1.0
super,5,2025-04-26,CBE,Google Play,POSITIVE,0.3333333333333333
ጠጀጨገጀ።ጀገ,5,2025-04-26,CBE,Google Play,NEUTRAL,0.0
i like the app,5,2025-04-26,CBE,Google Play,NEUTRAL,0.0
the Best,1,2025-04-26,CBE,Google Play,POSITIVE,1.0
to other bank is bad,1,2025-04-25,CBE,Google Play,NEGATIVE,-0.4124999999999999
tank's,5,2025-04-25,CBE,Google Play,NEUTRAL,0.0
its good but add more features such like. bank statement showing,5,2025-04-24,CBE,Google Play,POSITIVE,0.39999999999999997
it is so nice,5,2025-04-24,CBE,Google Play,POSITIVE,0.6
Very Good👍,5,2025-04-21,CBE,Google Play,POSITIVE,0.2
"my first frequent experience of cbe app is critical-time failure such as suspending payment on air for 2-5 days with zero explanation, deducting from sender account without depositing to the receiver act. Another fatal error by the banking company as a whole (not the app itself though) is forced-banking with corporations without consent of employers-users of the corresponding corporations",2,2025-04-21,CBE,Google Play,NEUTRAL,0.04666666666666667
"wow, amazing app",5,2025-04-21,CBE,Google Play,POSITIVE,0.35000000000000003
use ful,5,2025-04-21,CBE,Google Play,NEUTRAL,0.0
Great app,5,2025-04-21,CBE,Google Play,POSITIVE,0.8
well app,5,2025-04-20,CBE,Google Play,NEUTRAL,0.0
Actually it is inactive,4,2025-04-19,CBE,Google Play,NEUTRAL,0.0
"slow, only one account is used",2,2025-04-19,CBE,Google Play,NEGATIVE,-0.15000000000000002
